timestamp,side,price
1469404942267262,:b,1.09702
1469404942267262,:a,1.09707
1469404942267264,:b,1.09702
1469404942267264,:a,1.09707
1469404942267606,:b,1.09702
1469404942267606,:a,1.09707
1469404942267647,:b,1.09702
1469404942267647,:a,1.09707
1469404942267835,:b,1.09702
1469404942267835,:a,1.09707
1469404942267850,:b,1.09702
1469404942267850,:a,1.09707
1469404942267901,:b,1.09702
1469404942267901,:a,1.09707
1469404942267908,:b,1.09702
1469404942267908,:a,1.09707
1469404942268356,:b,1.09702
1469404942268356,:a,1.09707
1469404942268456,:b,1.09702
1469404942268456,:a,1.09707
1469404942268501,:b,1.09702
1469404942268501,:a,1.09707
1469404942268510,:b,1.09702
1469404942268510,:a,1.09707
1469404942268569,:b,1.09702
1469404942268569,:a,1.09707
1469404942269375,:b,1.09702
1469404942269375,:a,1.09707
1469404942269542,:b,1.09702
1469404942269542,:a,1.09707
1469404942269642,:b,1.09702
1469404942269642,:a,1.09707
1469404942269718,:b,1.09702
1469404942269718,:a,1.09707
1469404942269719,:b,1.09702
1469404942269719,:a,1.09707
1469404942269729,:b,1.09702
1469404942269729,:a,1.09707
1469404942269760,:b,1.09702
1469404942269760,:a,1.09707
1469404942270413,:b,1.09702
1469404942270413,:a,1.09707
1469404942270772,:b,1.09702
1469404942270772,:a,1.09708
1469404942273358,:b,1.09702
1469404942273358,:a,1.09708
1469404942273698,:b,1.09702
1469404942273698,:a,1.09709
1469404942273774,:b,1.09702
1469404942273774,:a,1.09709
1469404942273859,:b,1.09702
1469404942273859,:a,1.09709
1469404942273906,:b,1.09702
1469404942273906,:a,1.09709
1469404942274135,:b,1.09702
1469404942274135,:a,1.09709
1469404942274271,:b,1.09704
1469404942274271,:a,1.09709
1469404942274739,:b,1.09704
1469404942274739,:a,1.09709
1469404942275681,:b,1.09704
1469404942275681,:a,1.09709
1469404942284425,:b,1.09704
1469404942284425,:a,1.09709
1469404942354837,:b,1.09704
1469404942354837,:a,1.09709
1469404942354847,:b,1.09704
1469404942354847,:a,1.09709
1469404942354882,:b,1.09704
1469404942354882,:a,1.09709
1469404942355134,:b,1.09704
1469404942355134,:a,1.09709
1469404942381124,:b,1.09704
1469404942381124,:a,1.09709
1469404942418163,:b,1.09704
1469404942418163,:a,1.09709
1469404942418238,:b,1.09704
1469404942418238,:a,1.09709
1469404942418657,:b,1.09704
1469404942418657,:a,1.09709
1469404942418813,:b,1.09704
1469404942418813,:a,1.09709
1469404942418823,:b,1.09704
1469404942418823,:a,1.09709
1469404942418827,:b,1.09704
1469404942418827,:a,1.09709
1469404942418876,:b,1.09704
1469404942418876,:a,1.09709
1469404942418886,:b,1.09704
1469404942418886,:a,1.09709
1469404942418920,:b,1.09704
1469404942418920,:a,1.09709
1469404942418932,:b,1.09704
1469404942418932,:a,1.09709
1469404942506734,:b,1.09704
1469404942506734,:a,1.09709
1469404942506736,:b,1.09704
1469404942506736,:a,1.09709
1469404942506758,:b,1.09704
1469404942506758,:a,1.09709
1469404942506782,:b,1.09704
1469404942506782,:a,1.09709
1469404942520334,:b,1.09704
1469404942520334,:a,1.09709
1469404942567263,:b,1.09704
1469404942567263,:a,1.09709
1469404942582406,:b,1.09704
1469404942582406,:a,1.09709
1469404942592220,:b,1.09704
1469404942592220,:a,1.09709
1469404942594547,:b,1.09704
1469404942594547,:a,1.09709
1469404942594721,:b,1.09704
1469404942594721,:a,1.09709
1469404942595202,:b,1.09704
1469404942595202,:a,1.09709
1469404942595464,:b,1.09704
1469404942595464,:a,1.09709
1469404942595538,:b,1.09703
1469404942595538,:a,1.09709
1469404942598179,:b,1.09703
1469404942598179,:a,1.09709
1469404942598650,:b,1.09703
1469404942598650,:a,1.09709
1469404942598969,:b,1.09703
1469404942598969,:a,1.09708
